Dataset,SMILES,RON,MON
train,c1ccccc1,120.0,115.0
train,CCCCCCC,0.0,0.0
train,CCO,109.0,90.0
train,CCCCCO,78.0,74.0
train,CCCO,102.6,98.0
train,CCC(C)CO,101.0,88.0
train,C1CCOC1,72.9,65.0
train,Cc1oc(C)cc1,101.3,88.0
train,CCCCCC,24.8,26.0
train,CCC(C)(C)C,91.8,93.0
train,CC(C)CC(C)(C)C,100.0,100.0
train,CCCC1CCCCC1,17.8,14.0
train,C1CC=CC1,93.3,70.0
train,CC1=CCCC1,93.6,73.0
train,C1CCC=CC1,83.9,63.0
train,Cc1ccccc1,120.1,104.0
train,Cc1ccc(C)c(C)c1,110.5,108.0
train,CCc1ccccc1,107.4,98.0
train,C1CCc2ccccc2C1,96.4,82.0
train,Cc1ccc(C)cc1,103.4,101.0
train,CCCCCC(C)=O,69.0,78.1
train,C1CCC=CC1,83.9,63.0
train,C1CC=CC1,93.3,70.0
train,CC1=CCCC1,93.6,73.0
train,CCCCCC,24.8,26.0
train,c1ccccc1,120.0,115.0
train,CCO,109.0,90.0
train,CCCCCO,78.0,74.0
train,CCCCCC(C)=O,69.0,78.1
train,CCc1ccccc1,107.4,98.0
train,C1CCc2ccccc2C1,96.4,82.0
train,CCCO,102.6,98.0
train,CCC(C)CO,101.0,88.0
train,CCC(C)(C)C,91.8,93.0
train,CCCC1CCCCC1,17.8,14.0
train,Cc1ccc(C)cc1,103.4,101.0
train,Cc1ccc(C)c(C)c1,110.5,108.0
train,CC(C)CC(C)(C)C,100.0,100.0
train,CC(C)CC(C)(C)C,100.0,100.0
train,CCCCCCC,0.0,0.0
train,CCCCCCC,0.0,0.0
train,Cc1ccccc1,120.1,104.0
train,Cc1oc(C)cc1,101.3,88.0
train,C1CCOC1,72.9,65.0
train,CCC(C)=O,111.0,106.0
train,C1CCCCCC1,38.8,40.0
train,CCc1cccc(CC)c1,115.5,97.0
train,CCCCc1ccccc1,104.4,94.0
train,CCC(C)CC=C,86.4,74.0
train,CC(C)C(C)(C)C,112.1,101.0
train,CC(C)COC(C)=O,108.7,112.0
train,CCC(C)CC(C)C,65.2,70.0
train,CCCC(C)CCC,26.7,39.0
train,CCCCCCO,69.3,78.0
train,CC(C)=C(C)C,97.4,81.0
